,home_team_name,away_team_name,home_team_xG,away_team_xG,date
93,Juventus,Sassuolo,1.31,0.9,2021-10-27 11:30:00
94,Spezia,Genoa,1.79,1.24,2021-10-26 11:30:00
95,Udinese,Hellas Verona,1.46,0.96,2021-10-27 11:30:00
96,Sampdoria,Atalanta,1.51,1.65,2021-10-27 11:35:00
97,Lazio,Fiorentina,0.52,0.67,2021-10-27 13:45:00
98,Cagliari,Roma,0.89,2.83,2021-10-27 13:45:00
99,Atalanta,Lazio,1.29,1.77,2021-10-30 08:00:00
100,Hellas Verona,Juventus,1.66,1.35,2021-10-30 11:00:00
101,Empoli,Inter,0.52,1.92,2021-10-27 13:45:00
102,Torino,Sampdoria,2.79,0.29,2021-10-30 13:50:00
103,Bologna,Cagliari,1.29,0.69,2021-11-01 13:45:00
104,Inter,Udinese,2.15,0.51,2021-10-31 05:30:00
105,Genoa,Venezia,1.18,0.63,2021-10-31 08:00:00
106,Sassuolo,Empoli,1.26,1.73,2021-10-31 08:00:00
107,Salernitana,Napoli,0.47,2.01,2021-10-31 11:05:00
108,Fiorentina,Spezia,3.11,0.12,2021-10-31 08:05:00
109,Roma,Milan,1.74,1.86,2021-10-31 13:45:00
110,Empoli,Genoa,0.86,2.02,2021-11-05 13:45:00
111,Venezia,Roma,2.89,3.67,2021-11-07 05:30:00
112,Sampdoria,Bologna,1.18,1.46,2021-11-07 08:00:00
113,Udinese,Sassuolo,1.72,1.24,2021-11-07 08:00:00
114,Lazio,Salernitana,1.75,0.4,2021-11-07 11:00:00
115,Napoli,Hellas Verona,0.95,1.23,2021-11-07 11:00:00
116,Milan,Inter,1.26,2.8,2021-11-07 13:45:00
117,Spezia,Torino,0.45,0.55,2021-11-06 08:00:00
118,Cagliari,Atalanta,0.88,3.42,2021-11-06 13:45:00
119,Juventus,Fiorentina,0.87,0.64,2021-11-06 11:00:00
120,Atalanta,Spezia,3.1,0.98,2021-11-20 08:00:00
121,Hellas Verona,Empoli,1.65,1.71,2021-11-22 11:30:00
122,Lazio,Juventus,0.35,2.57,2021-11-20 11:00:00
123,Torino,Udinese,2.46,1.8,2021-11-22 13:45:00
124,Fiorentina,Milan,1.34,2.25,2021-11-20 13:45:00
125,Sassuolo,Cagliari,3.17,1.46,2021-11-21 05:30:00
126,Salernitana,Sampdoria,1.31,1.36,2021-11-21 08:00:00
127,Genoa,Roma,0.06,2.35,2021-11-21 13:45:00
128,Torino,Empoli,0.9,1.08,2021-12-02 11:30:00
129,Cagliari,Salernitana,1.98,0.38,2021-11-26 13:45:00
130,Inter,Napoli,2.29,0.95,2021-11-21 11:00:00
131,Lazio,Udinese,1.6,1.55,2021-12-02 13:45:00
132,Bologna,Venezia,2.04,0.93,2021-11-21 08:00:00
133,Spezia,Bologna,0.95,2.71,2021-11-28 08:05:00
134,Napoli,Lazio,1.15,0.45,2021-11-28 13:50:00
135,Milan,Sassuolo,1.07,1.48,2021-11-28 08:00:00
136,Udinese,Genoa,1.31,1.06,2021-11-28 05:30:00
137,Roma,Torino,1.02,1.09,2021-11-28 11:00:00
138,Atalanta,Venezia,2.31,0.75,2021-11-30 11:30:00
139,Fiorentina,Sampdoria,3.16,0.78,2021-11-30 11:35:00
140,Inter,Spezia,3.38,0.44,2021-12-01 11:30:00
141,Salernitana,Juventus,0.33,2.03,2021-11-30 13:45:00
142,Hellas Verona,Cagliari,1.46,0.8,2021-11-30 13:50:00
143,Sassuolo,Napoli,0.48,1.08,2021-12-01 13:45:00
144,Genoa,Milan,0.49,1.39,2021-12-01 13:45:00
145,Sampdoria,Hellas Verona,0.97,1.01,2021-11-27 08:00:00
146,Bologna,Roma,0.26,0.97,2021-12-01 11:30:00
147,Empoli,Fiorentina,2.21,2.62,2021-11-27 08:00:00
148,Venezia,Inter,0.23,3.38,2021-11-27 13:45:00
149,Milan,Salernitana,2.32,0.37,2021-12-04 08:00:00
150,Roma,Inter,0.88,1.37,2021-12-04 11:00:00
151,Juventus,Atalanta,1.01,0.62,2021-11-27 11:00:00
